"Q-kode","churchLabel","latitude","longitude","kommune","stift","sogn","wikilink","opført","opført_tal"
"Q10164101","Råsted Kirke",56.514324,9.948428,"Randers Kommune","Århus Stift","Råsted Sogn","https://da.wikipedia.org/wiki/R%C3%A5sted_Kirke_(Randers_Kommune)","1100-tallet",1150
"Q1033809","Trinitatis Kirke",55.68155556,12.57605556,"Københavns Kommune","Københavns Stift","Trinitatis Sogn","https://da.wikipedia.org/wiki/Trinitatis_Kirke_(K%C3%B8benhavn)","1637-51",1637
"Q10401549","Adslev Kirke",56.09882,9.99373,"Skanderborg Kommune","Århus Stift","Adslev Sogn","https://da.wikipedia.org/wiki/Adslev_Kirke","1100-tallet",1150
"Q10403807","Aidt Kirke",56.31437,9.7864,"Favrskov Kommune","Århus Stift","Aidt Sogn","https://da.wikipedia.org/wiki/Aidt_Kirke","romansk tid",1175
"Q10406762","Alrø Kirke",55.85665,10.07506,"Odder Kommune","Århus Stift","Alrø Sogn","https://da.wikipedia.org/wiki/Alr%C3%B8_Kirke","1300-tallet",1350
"Q10406766","Als Kirke",56.7553,10.2943,"Mariagerfjord Kommune","Aalborg Stift","Als Sogn","https://da.wikipedia.org/wiki/Als_Kirke","Omkring 1300",1300
"Q10502576","Gammel Vor Frue Kirke",55.6385,12.0823,"Roskilde Kommune","Roskilde Stift","Roskilde Domsogn","https://da.wikipedia.org/wiki/Gammel_Vor_Frue_Kirke","Omkring 1080",1080
"Q10527455","Husum Kirke",55.7087,12.4772,"Københavns Kommune","Københavns Stift","Husum Sogn","https://da.wikipedia.org/wiki/Husum_Kirke","1977",1977
"Q10527512","Hvilsom Kirke",56.65711,9.61162,"Mariagerfjord Kommune","Århus Stift","Hvilsom Sogn","https://da.wikipedia.org/wiki/Hvilsom_Kirke","1200-tallet",1250
"Q10540002","Jerusalemskirken",55.68894,12.58358,"Københavns Kommune","","","https://da.wikipedia.org/wiki/Jerusalemskirken",NA,NA
"Q10548452","Kragelund Kirke",56.19436,9.41226,"Silkeborg Kommune","Århus Stift","Kragelund Sogn","https://da.wikipedia.org/wiki/Kragelund_Kirke","~1150",1150
"Q106357183","Kalundborg Metodistkirke",55.67907,11.08791,NA,NA,NA,"http://www.wikidata.org/entity/Q106357183",NA,NA
